SampleID	Compartment	Condition	ConCom	System	Replicate	Microbe	Library	not_include	Description
1	1R.6.1	Root	Normal.Microbes	Normal.Microbes.Root	FlowPot	1	BFO.LLL	L0177		NA
14	1R.9.2	Root	Shade.Microbes	Shade.Microbes.Root	FlowPot	1	BFO.LLL	L0177		NA
20	1M.6.1	Matrix	Normal.Microbes	Normal.Microbes.Matrix	FlowPot	1	BFO.LLL	L0177		NA
21	1M.6.2	Matrix	Normal.Microbes	Normal.Microbes.Matrix	FlowPot	1	BFO.LLL	L0177		NA
22	1M.6.3	Matrix	Normal.Microbes	Normal.Microbes.Matrix	FlowPot	1	BFO.LLL	L0177		NA
23	1M.6.4	Matrix	Normal.Microbes	Normal.Microbes.Matrix	FlowPot	1	BFO.LLL	L0177		NA
32	1M.9.1	Matrix	Shade.Microbes	Shade.Microbes.Matrix	FlowPot	1	BFO.LLL	L0177		NA
33	1M.9.2	Matrix	Shade.Microbes	Shade.Microbes.Matrix	FlowPot	1	BFO.LLL	L0177		NA
34	1M.9.3	Matrix	Shade.Microbes	Shade.Microbes.Matrix	FlowPot	1	BFO.LLL	L0177		NA
42	2R.6.3	Root	Normal.Microbes	Normal.Microbes.Root	FlowPot	2	BFO.LLL	L0177		NA
61	2M.6.2	Matrix	Normal.Microbes	Normal.Microbes.Matrix	FlowPot	2	BFO.LLL	L0177		NA
63	2M.6.4	Matrix	Normal.Microbes	Normal.Microbes.Matrix	FlowPot	2	BFO.LLL	L0177		NA
72	2M.9.1	Matrix	Shade.Microbes	Shade.Microbes.Matrix	FlowPot	2	BFO.LLL	L0177		NA
73	2M.9.2	Matrix	Shade.Microbes	Shade.Microbes.Matrix	FlowPot	2	BFO.LLL	L0177		NA
74	2M.9.3	Matrix	Shade.Microbes	Shade.Microbes.Matrix	FlowPot	2	BFO.LLL	L0177		NA
75	2M.9.4	Matrix	Shade.Microbes	Shade.Microbes.Matrix	FlowPot	2	BFO.LLL	L0177		NA
82	3R.6.3	Root	Normal.Microbes	Normal.Microbes.Root	FlowPot	3	BFO.LLL	L0178		NA
83	3R.6.4	Root	Normal.Microbes	Normal.Microbes.Root	FlowPot	3	BFO.LLL	L0178		NA
92	3R.9.1	Root	Shade.Microbes	Shade.Microbes.Root	FlowPot	3	BFO.LLL	L0178		NA
93	3R.9.2	Root	Shade.Microbes	Shade.Microbes.Root	FlowPot	3	BFO.LLL	L0178		NA
94	3R.9.3	Root	Shade.Microbes	Shade.Microbes.Root	FlowPot	3	BFO.LLL	L0178		NA
95	3R.9.4	Root	Shade.Microbes	Shade.Microbes.Root	FlowPot	3	BFO.LLL	L0178		NA
101	3M.6.2	Matrix	Normal.Microbes	Normal.Microbes.Matrix	FlowPot	3	BFO.LLL	L0178		NA
102	3M.6.3	Matrix	Normal.Microbes	Normal.Microbes.Matrix	FlowPot	3	BFO.LLL	L0178		NA
113	3M.9.2	Matrix	Shade.Microbes	Shade.Microbes.Matrix	FlowPot	3	BFO.LLL	L0178		NA
115	3M.9.4	Matrix	Shade.Microbes	Shade.Microbes.Matrix	FlowPot	3	BFO.LLL	L0178		NA
